Paradigm order,Pseudoword,p1,p2,p3,p4,p5,p6,,p1,p2,p3,p4,p5,p6,,Match,Error Code,Notes
1,smeke,s,m,i,k,,,,,,,,,,,Match,Match,
2,zook,z,u,k,,,,,,,,,,,,Match,Match,
3,thwown,,,,,,,,,,,,,,,"θwaʊn,θɹ,",Match,
4,glask,g,l,æ,s,k,,,,,,,,,,Match,Match,
5,drose,d,ɹ,oʊ,z,,,,,,,,,,,Match,Match,
6,skube,s,k,u,b,,,,,,,,,,,Match,Match,
7,fles,f,l,ɛ,s,,,,,,,,,,,Match,Match,
8,snowl,s,n,aʊ,l,,,,,,,,,,,Match,Match,
9,scrym,s,k,ɹ,ɪ,m,,,,,,,,,,Match,Match,
10,cerm,s,ɚ,ɹ,m,,,,,,,,,,,Match,Match,
11,blease,,,,,,,,,,,,,,,Match,Match,
12,brask,b,ɹ,æ,s,k,,,,,,,,,,Match,Match,
13,scralk,s,k,ɹ,ɑ,k,,,,,,,,,,Match,Do not match,
14,oosh,,,,,,,,,,,,,,,Match,Match,
15,stuke,s,t,u,k,,,,,,,,,,,Match,Match,
16,shrirr,ʃ,ɹ,aɪ,ɚ,ɹ,,,,,,,,,,#REF!,Match,
17,cilth,k,ɪ,l,θ,,,,,,,,,,,Match,Match,
18,showth,ʃ,oʊ,θ,,,,,,,,,,,,Match,Match,
19,rhete,,,,,,,,,,,,,,,Match,Match,
20,fasp,f,æ,s,p,,,,,,,,,,,Match,Match,
21,dweke,,,,,,,,,,,,,,,Match,Match,
22,gwarn,,,,,,,,,,,,,,,Match,Match,
23,strow,s,t,ɹ,aʊ,,,,,,,,,,,Match,Match,
24,throuse,,,,,,,,,,,,,,,Match,Do not match,
25,lasp,l,æ,s,p,,,,,,,,,,,Match,Match,
26,crusque,,,,,,,,,,,,,,,Match,Match,
27,cebb,,,,,,,,,,,,,,,Match,Match,
28,glauk,,,,,,,,,,,,,,,Match,Match,
29,celk,s,ɛ,l,k,,,,,,,,,,,Match,Do not match,
30,spube,s,p,u,b,,,,,,,,,,,Match,Match,
31,dwarb,,,,,,,,,,,,,,,"dwɑɹb,dwɚɹb,",Match,
32,dwalp,d,w,ɑ,l,p,,,,,,,,,,Match,Match,
33,thuse,,,,,,,,,,,,,,,Match,Match,
34,strook,s,t,ɹ,ʌ,,,,,,,,,,,Match,Do not match,
35,geve,g,i,v,,,,,,,,,,,,Match,Match,
36,buke,b,ju,k,,,,,,,,,,,,Match,Match,
37,blynch,,,,,,,,,,,,,,,"blɪttʃ,?,",Match,
38,scrose,s,k,ɹ,oʊ,s,,,,,,,,,,Match,Match,
39,sprauk,,,,,,,,,,,,,,,"spɹɑk,spʌɑk,",Match,
40,veese,v,i,s,,,,,,,,,,,,Match,Match,
41,scralk,,,,,,,,,,,,,,,Match,Match,
42,strow,s,t,ɹ,oʊ,,,,,,,,,,,Match,Match,
43,strook,,,,,,,,,,,,,,,Match,Match,kind of hard to hear
44,glask,g,l,æ,s,k,,,,,,,,,,Match,Match,
45,sprauk,s,p,ɹ,ɑ,k,,,,,,,,,,Match,Match,
46,cilth,,,,,,,,,,,,,,,Match,Match,
47,crusque,,,,,,,i,,,,,,,,Match,Match,
48,brask,,,,,,,,,,,,,,,Match,Do not match,
49,fles,f,l,ɛ,s,,,,,,,,,,,Match,Match,
50,buke,,,,,,,,,,,,,,,Match,Match,
51,showth,,,,,,,,,,,,,,,Match,Do not match,
52,zook,z,u,k,,,,,,,,,,,,Match,Match,
53,glauk,,,,,,,,,,,,,,,",glɑk,",Do not match,
54,scrym,s,k,ɹ,ɪ,m,,,,,,,,,,Match,Match,
55,thuse,,,,,,,,,,,,,,,Match,Do not match,
56,veese,v,i,s,,,,,,,,,,,,Match,Match,
57,thwown,,,,,,,,,,,,,,,Match,Do not match,
58,lasp,l,æ,s,p,,,,,,,,,,,Match,Match,
59,cerm,,,,,,,,,,,,,,,Match,Do not match,
60,dwarb,d,w,ɚ,ɹ,b,,,,,,,,,,Match,Match,
61,scrose,s,k,ɹ,oʊ,z,,,,,,,,,,Match,Match,
62,fasp,f,æ,s,p,,,,,,,,,,,Match,Match,
63,stuke,s,t,u,k,,,,,,,,,,,Match,Match,
64,snowl,,,,,,,,,,,,,,,Match,Match,
65,celk,,,,,,,,,,,,,,,Match,Do not match,
66,smeke,s,m,i,k,,,,,,,,,,,Match,Match,
67,gwarn,,,,,,,,,,,,,,,Match,Do not match,
68,oosh,u,ʃ,,,,,,,,,,,,,Match,Match,
69,geve,g,i,v,,,,,,,,,,,,Match,Match,
70,spube,,,,,,,,,,,,,,,Match,Match,
71,drose,d,ɹ,oʊ,z,,,,,,,,,,,Match,Do not match,
72,throuse,θ,ɹ,aʊ,s,,,,,,,,,,,Match,Match,
73,rhete,,,,,,,,,,,,,,,Match,Match,
74,blynch,,,,,,,,,,,,,,,Match,Match,
75,blease,b,l,i,z,,,,,,,,,,,Match,Match,
76,dwalp,d,w,ɑ,l,p,,,,,,,,,,Match,Match,
77,cebb,s,ɛ,b,,,,,,,,,,,,Match,Match,
78,shrirr,,,,,,,,,,,,,,,Match,Match,
79,skube,s,k,w,i,b,,,,,,,,,,Match,Match,
80,dweke,,,,,,,,,,,,,,,Match,Match,
,,,,,,,,,,,,,,,,Match,Match,
